R version	4.5.1
Package	Version
AnnotationDbi	1.70.0
askpass	1.2.0
base	4.5.1
base64enc	0.1-3
BH	1.90.0-1
Biobase	2.68.0
BiocGenerics	0.54.0
BiocManager	1.30.26
BiocParallel	1.42.2
BiocVersion	3.21.1
Biostrings	2.76.0
bit	4.6.0
bit64	4.6.0-1
bitops	1.0-9
blob	1.2.4
boot	1.3-31
brio	1.1.4
cachem	1.1.0
callr	3.7.3
cellranger	1.1.0
class	7.3-23
cli	3.6.2
clipr	0.8.0
cluster	2.1.8.1
codetools	0.2-19
compiler	4.5.1
cowplot	1.2.0
cpp11	0.5.5
cpp11	0.5.2
crayon	1.5.2
curl	5.0.2
data.table	1.18.6.1
datasets	4.5.1
DBI	1.2.3
desc	1.4.3
diffobj	0.3.5
digest	0.6.34
dplyr	1.1.4
edgeR	4.6.3
ellipsis	0.3.2
evaluate	0.23
fansi	1.0.6
farver	2.1.2
fastmap	1.2.0
fastmatch	1.1-8
fgsea	1.34.2
foreign	0.8-90
formatR	1.14
fs	1.6.3
futile.logger	1.4.9
futile.options	1.0.1
generics	0.1.4
GenomeInfoDb	1.44.3
GenomeInfoDbData	1.2.14
ggplot2	3.5.2
glue	1.7.0
graph	1.86.0
graphics	4.5.1
grDevices	4.5.1
grid	4.5.1
gtable	0.3.6
hms	1.1.3
htmltools	0.5.8.1
httr	1.4.7
IRanges	2.42.0
IRdisplay	1.1
IRkernel	1.3.2
isoband	0.2.7
jsonlite	1.8.8
KEGGREST	1.48.1
KernSmooth	2.23-26
labeling	0.4.3
lambda.r	1.2.4
lattice	0.22-5
lifecycle	1.0.4
limma	3.64.3
littler	0.3.21
locfit	1.5-9.12
magrittr	2.0.3
MASS	7.3-65
mathjaxr	2.0-0
Matrix	1.7-4
memoise	2.0.1
metadat	1.6-0
metafor	5.0-1
methods	4.5.1
mgcv	1.9-1
mime	0.12
nlme	3.1-168
nnet	7.3-20
numDeriv	2016.8-1.1
openssl	2.0.6
org.Hs.eg.db	3.21.0
parallel	4.5.1
pbapply	1.7-5
pbdZMQ	0.3-14
pillar	1.9.0
pkgbuild	1.4.3
pkgconfig	2.0.3
pkgload	1.3.4
plogr	0.2.0
png	0.1-9
praise	1.0.0
prettyunits	1.2.0
processx	3.8.3
progress	1.2.3
ps	1.7.6
R.methodsS3	1.8.2
R.oo	1.27.1
R.utils	2.13.0
R6	2.5.1
RColorBrewer	1.1-3
Rcpp	1.1.2
RCurl	1.98-1.17
readr	2.1.5
readxl	1.5.0
rematch	2.0.0
rematch2	2.1.2
repr	1.1.7
rlang	1.1.3
rpart	4.1.24
rprojroot	2.0.4
RSQLite	2.4.3
S4Vectors	0.46.0
scales	1.4.0
snow	0.4-4
spatial	7.3-17
splines	4.5.1
SRAdb	1.70.0
statmod	1.5.2
stats	4.5.1
stats4	4.5.1
survival	3.8-3
sys	3.4.2
tcltk	4.5.1
testthat	3.2.1
tibble	3.2.1
tidyselect	1.2.1
tools	4.5.1
tzdb	0.5.0
UCSC.utils	1.4.0
utf8	1.2.4
utils	4.5.1
uuid	1.2-1
vctrs	0.6.5
viridisLite	0.4.2
vroom	1.6.5
waldo	0.5.2
withr	3.0.0
XVector	0.48.0
