gene	log2FC_per_decade	P	FDR	log2FC_adj	P_adj	FDR_adj
ACIN1	-0.0202542246821469	0.00355698364163801	0.00605371254394162	-0.0187422607567425	0.0122003662870038	0.0898969692199177
ALYREF	-0.0785867931115493	0.00106418657032688	0.00211641598817818	0.0122801951855576	0.310619822119784	0.560024954136385
BUD13	-0.0658114054761551	4.08713643627841e-06	3.44487213914895e-05	-0.0186240092408589	0.0419027480211715	0.172483404645288
CACTIN	-0.048110099325343	0.0439782821430785	0.0564069270965571	0.00618040039803973	0.777313037472025	0.863784343357269
CASC3	-0.0137203876016345	0.0761189228216117	0.0916533968668386	-0.00822631490979569	0.317220222714804	0.560024954136385
CCAR1	-0.0458596636907465	2.11879590640133e-06	2.08348264129464e-05	-0.02794186377957	0.00211701188336674	0.0288239310273779
CCDC12	-0.0457618622660791	0.000480957588050892	0.00116615743952066	-0.0215523913257286	0.0850570265856425	0.26884095902962
CDC5L	-0.0433222874920789	1.36701238264417e-06	1.72829422662871e-05	-0.0232011677362198	0.0033353425823035	0.0373928222847469
CHERP	-0.0565974799863092	0.00205416080421373	0.0036358646234583	-0.00984187653059242	0.530496230826638	0.739353014616653
CHTOP	-0.0312368070650444	3.70575544962267e-05	0.000172610188048214	-0.0135828456447192	0.0410606331493841	0.172483404645288
CPSF1	-0.0494002541203623	0.0268571332459968	0.0362878823247437	-0.0120290853243733	0.585128432481196	0.767168389253123
CPSF2	-0.00894726570947869	0.292002776067852	0.329200581936368	-0.00347414563591722	0.701767846893068	0.828877149007771
CPSF3	-0.0554968571907476	1.63011072480086e-06	1.80330998931095e-05	-0.0160477042880714	0.0210609908306911	0.112963496273707
CPSF4	-0.0344027454082844	0.00990229099526314	0.0149803889415519	0.00685879103794981	0.492675380455584	0.707554461634635
CPSF6	-0.0342628334092405	9.2728036064905e-05	0.000321820831048788	-0.0118153088372517	0.108429096900158	0.2998742211145
CPSF7	-0.0167716673707069	0.0124563602044165	0.0185275273628715	-0.00325943334336405	0.608464738862347	0.771233204176468
CSTF2	-0.0626368815356767	1.91907395137089e-05	0.000116814358297414	-0.0108989600291807	0.193940211207321	0.451676544522314
CTNNBL1	-0.0218467429765431	0.00659986639730523	0.0105241112821894	-0.0120917452990123	0.143150997909599	0.37261362691175
CWC22	-0.0389864134049302	0.000264557499304065	0.000755268989948703	-0.0363207630640846	0.00151157648751901	0.0267549038290864
CWC25	-0.0150965087776003	0.0318199357296987	0.0417194712900494	-0.00635498930548478	0.380061879927514	0.628700492964205
CWC27	-0.0516070323431825	3.94567601102099e-07	1.16397442325119e-05	-0.0300686312878914	0.000995685251294747	0.01958180994213
DDX23	-0.0408732970510326	5.0105414956512e-05	0.000227401498648785	-0.00758408597164379	0.252315356300959	0.513331242129537
DDX39A	-0.135310690154865	3.10375669784215e-05	0.000161196602813339	-0.010348422403077	0.464367005009799	0.690697141905332
DDX39B	-0.0242397006217012	8.67952574603116e-05	0.000313525725928064	-0.0164032356703471	0.00882363390185869	0.0709901454831358
DDX46	-0.0509750425025557	9.74998458433488e-06	7.60454540657974e-05	-0.0118792931054141	0.0952167862365927	0.285650358709778
DHX15	-0.0299249569027972	0.000627273514027004	0.0014419144413348	-0.00861072317413428	0.258301934114837	0.513701599307036
DHX16	-0.0270655256579759	0.00308957791710864	0.00530927467308961	-0.00364068168829819	0.641800891782192	0.794396908010125
DHX38	-0.0292498006519492	0.00167985311660188	0.00306529898596425	-0.00390060298848512	0.610014963755399	0.771233204176468
DHX9	-0.0604778823120341	1.81204758619038e-06	1.88666131032763e-05	-0.019519482494223	0.0193064439977601	0.112963496273707
DNAJC8	-0.0212681056815822	0.0159638847206148	0.0229724194760067	-0.0112786012107668	0.216815964834788	0.47378303426861
EFTUD2	-0.0516452719044343	1.97990437792227e-05	0.000116814358297414	-0.0116720885913351	0.138371213016632	0.365547831402147
EIF4A3	-0.0133747315885219	0.244083446640061	0.276940833687762	0.0162831245903689	0.106710728309524	0.299806331917234
EIF4E	-0.0416468559128497	0.0158529366290909	0.0229724194760067	0.00399409160816099	0.784972641825215	0.863784343357269
FUS	-0.0643468217978452	0.00021081334980095	0.000621899381912804	-0.00155925952683956	0.872321121384987	0.930125533043028
GLE1	-0.064485600102026	1.07145888174073e-05	7.60454540657974e-05	-0.0162128538667741	0.0880485868401477	0.273414032819406
GPKOW	-0.000886055943175469	0.921506015227742	0.926741844859718	0.00494907503837599	0.607412618496059	0.771233204176468
GTF2F1	-0.0370961339428331	0.000659007435924881	0.00147651033112283	-0.0157318524883221	0.1250082992312	0.3352495297564
HNRNPA1	-0.0539484962341032	0.000277989924104989	0.000781019310580683	-0.0150073031939227	0.2235682700908	0.482580290317946
HNRNPA2B1	-0.0760176295240516	6.63767814449464e-07	1.17486903157555e-05	-0.0263448532769993	0.00781962051365419	0.0663134956234447
HNRNPA3	-0.0342955985716038	0.00868073988956614	0.0133607909604627	-0.00308594071060734	0.79058228036089	0.863784343357269
HNRNPC	-0.0856557903925266	4.79064181555991e-10	8.47943601354105e-08	-0.0586802140934798	2.45979772485129e-06	0.000350851161412612
HNRNPD	-0.053297376336308	0.000833082955126256	0.00175542479830175	-0.00331654503172739	0.773264278571772	0.863784343357269
HNRNPF	-0.0448007704740161	0.00016932064110359	0.000535174169202417	-0.00918037287956199	0.303543042572983	0.553887819952763
HNRNPH1	-0.00283426752752662	0.79379837409186	0.816873908222437	0.00473490373391403	0.682770860727489	0.82211185271269
HNRNPK	-0.029915400146819	0.000151606592308422	0.00049693271923316	-0.019467331106122	0.0145555996439783	0.0898969692199177
HNRNPL	-0.0256816055475608	0.0299232684771471	0.039822695642519	0.015504822711657	0.0448268854757738	0.180326334754817
HNRNPM	-0.050990190800204	0.00189082825124474	0.00341506735173795	0.00771138408750664	0.428380239096672	0.665116687018516
HNRNPR	-0.0688520235340118	1.09224336678778e-05	7.60454540657974e-05	-0.0236590569902013	0.0466434165915044	0.181944647686136
HNRNPU	-0.0290491324251171	0.000857818766613735	0.00176551071733292	-0.00798010106811262	0.29523430307727	0.553052570958247
HSPA8	-0.0357370413673487	0.00850563816264651	0.0132061224104248	-0.00455970541181555	0.710255822556492	0.828877149007771
IK	-0.0351781122550021	2.83251588077024e-07	1.16397442325119e-05	-0.0320187333972461	1.00942449199135e-05	0.000595560450274896
ISY1	-0.0142193301842945	0.0506314333837893	0.0635586078647568	-0.0190890518830973	0.0147288819625854	0.0898969692199177
LSM2	-0.0664221824279641	0.000528306491684525	0.00123039801352843	0.00327548507396727	0.759672882579802	0.863784343357269
