tissue	programme	n_genes	n	rho_prolif	p_prolif	rho_prolif_raw	beta_age	p_age	beta_age_adj	p_age_adj	attenuation	FDR_prolif	FDR_age
culture	splicing 96	96	492	0.739225416322278	1.19038614715399e-85	0.724648630856452	-0.0252174596131422	0.3257577776737	-0.0529009699852612	0.00216636539160825	-1.09779140313133	4.25137909697854e-85	0.508996527615156
culture	pre-mRNA processing	289	492	0.691059060113659	1.14500779238166e-70	0.682628766403822	-0.0250813237016453	0.204020033828848	-0.0448360082243512	0.00182119744581397	-0.787625276787524	2.86251948095414e-70	0.411417318700321
culture	mRNA splicing	201	492	0.689292436770391	3.56755600499792e-70	0.68486810391965	-0.0260261715277178	0.213937005724167	-0.0468225272959461	0.00228549285237546	-0.799055510184441	8.10808182954072e-70	0.411417318700321
culture	translation	366	492	0.74789036476394	1.05354303210892e-88	0.78299929132612	0.00391731541266783	0.810003643276951	-0.0120640774843015	0.316228690791114	4.07967988620183	5.2677151605446e-88	0.880438742692338
culture	rRNA processing	191	492	0.700923756695873	1.72196385610606e-73	0.743044923448832	0.00574147990430476	0.717683044212295	-0.00942350164854803	0.431658012762624	2.64130186042846	4.78323293362794e-73	0.880090473255109
culture	proteasome	281	492	0.27263261338033	8.79405588481795e-10	0.29766128626108	-0.0225499253268775	0.00085276586522477	-0.0248270270031614	0.000171007635236259	-0.100980453073596	1.04691141485928e-09	0.0202365066576616
culture	autophagy	139	492	0.435356830609407	4.92161826800249e-24	0.454460238718775	-0.0149950740128854	0.0465972135584776	-0.0195273997680386	0.00459083480098919	-0.302254310399435	7.69002854375389e-24	0.232986067792388
culture	chaperone / HSF1	35	492	0.166506038591244	0.000216936207776338	0.137977095804075	-0.0133267128297354	0.132172653383204	-0.0158503691803282	0.0688164579846825	-0.189368254785373	0.000235800225843845	0.330431633458011
culture	unfolded protein response	91	492	0.702708718341113	5.16188543658282e-74	0.72227960961782	-0.00733860369932134	0.542821429363342	-0.0192370501081511	0.0302522935363238	-1.62135017727284	1.61308919893213e-73	0.798266807887268
culture	DNA double-strand repair	169	492	0.895354293475101	3.35363595940536e-173	0.867190197997007	-0.000317191015058318	0.987702439727161	-0.0271407032714166	0.00273755138638896	-84.5658009935325	4.1920449492567e-172	0.987702439727161
culture	base excision repair	43	492	0.854464111993421	1.31928609217765e-140	0.828065644065846	-0.00131421223856506	0.949456120338998	-0.0268932110239082	0.0139671645137756	-19.4633697927451	1.09940507681471e-139	0.987702439727161
culture	telomere maintenance	62	492	0.80880970011536	2.30006154315923e-114	0.782845145763785	-0.0106113997552648	0.629245144129045	-0.0365537506860746	0.00441376882941649	-2.44476238094213	1.43753846447452e-113	0.873951589068117
culture	chromatin organisation	294	492	0.433340322711796	8.36382197820515e-24	0.443055625503626	-0.0205996558204802	0.0363277300691896	-0.0264496824166882	0.00336208355949406	-0.283986618377955	1.22997382032429e-23	0.227048312932435
culture	mitochondrial translation	132	492	0.422552866956728	1.34420070255639e-22	0.449124320104754	-0.0358609047096605	0.0747612069311661	-0.0472419005673109	0.0111526637837231	-0.317364995384081	1.8669454202172e-22	0.26700431046845
culture	respiratory electron transport	153	492	0.668954453804256	9.75810314210608e-65	0.702744312622309	-0.0054903003391042	0.774479616464495	-0.0211173087260099	0.184229579423053	-2.84629390410642	2.03293815460543e-64	0.880090473255109
culture	TCA cycle	33	492	0.742426457615398	9.16524049855529e-87	0.783490596581098	0.0179996132204859	0.310115121630138	0.000303980659900326	0.981181007589259	0.983111822672148	3.81885020773137e-86	0.508996527615156
culture	interferon signalling	309	492	0.592875690595766	9.62027318537678e-48	0.628494715523196	-0.00173319498229057	0.738087283023235	-0.00588821544327793	0.174411416756027	-2.39731853798477	1.71790592596014e-47	0.880090473255109
culture	NF-kB / TNF	33	492	-0.564558329553997	1.65276429815863e-42	-0.614357031339933	-0.033817223749818	0.00161892053261293	-0.0244284500044797	0.0042442649984705	0.277632895438047	2.75460716359772e-42	0.0202365066576616
culture	extracellular matrix	288	492	-0.214405280302457	1.71124709422603e-06	-0.25263441421089	0.0142550720048428	0.115365735768605	0.0166072245009748	0.0632139388705056	-0.165004602946437	1.9445989707114e-06	0.330431633458011
culture	collagen formation	83	492	0.0488319761142609	0.281159731098925	0.0224422988373432	0.01709838636837	0.120582341406132	0.0154640688288929	0.159377754328234	0.095583144763909	0.281159731098925	0.330431633458011
culture	insulin / IGF signalling	69	492	-0.0812519780428054	0.0726339987996978	-0.107973030821918	-0.00753112246850633	0.194941755782007	-0.00693171798110814	0.233146422295562	0.0795903253339434	0.0756604154163518	0.411417318700321
culture	mTOR signalling	23	492	0.411935997713959	1.87812531012113e-21	0.425621258777484	-0.0110065114502365	0.301366022197728	-0.0159428309635113	0.115506963133522	-0.44849083522906	2.34765663765141e-21	0.508996527615156
culture	cellular senescence	125	492	0.634385646228159	2.00576064936195e-56	0.622293369402556	-0.0143410626705155	0.0690437585676525	-0.0216322441418899	0.000404687568497834	-0.508412914641584	3.85723201800374e-56	0.26700431046845
culture	interleukin signalling	386	492	0.419205421527534	3.11866037105562e-22	0.443046542247036	-0.0101834281293205	0.0248242117707826	-0.0131174323446969	0.00131387214588405	-0.288115571506677	4.10350048823107e-22	0.206868431423189
culture	cell cycle (positive control)	463	492	0.940920238160132	3.62651282222571e-231	0.927288980660758	0.00636706426366458	0.748450363861292	-0.0207649306513641	0.00180132782140228	4.26130376441541	9.06628205556428e-230	0.880090473255109
legskin	splicing 96	96	739	0.225063236113106	6.62367008914273e-10	0.22723346799719	-0.0315851599393445	0.037321284476943	-0.0241481394368054	0.101023979910407	0.235459327001066	2.0698969028571e-09	0.0848211010839614
legskin	pre-mRNA processing	289	739	0.14488308566661	7.98898088398644e-05	0.188956166305254	-0.0138086547699588	0.20195681537307	-0.0103267457843994	0.334833708049067	0.252154105056951	0.000133149681399774	0.240424780206036
legskin	mRNA splicing	201	739	0.133975789050214	0.000267455496074817	0.173224103670653	-0.0118554786603149	0.307944201159933	-0.00854535515360446	0.459037105108531	0.27920623043174	0.000393316905992378	0.349936592227197
legskin	translation	366	739	0.212773590779466	5.56033982055506e-09	0.191859392974941	-0.0457446896054224	0.00235857872267772	-0.03834704519857	0.00860378817477576	0.161715916550354	1.54453883904307e-08	0.0294822340334715
legskin	rRNA processing	191	739	0.181707123804223	6.95624831626246e-07	0.180947041632213	-0.0371238215713321	0.03010402826404	-0.0293772409052252	0.0785500880478056	0.208668729086043	1.3377400608197e-06	0.0752600706601001
legskin	proteasome	289	739	0.15937564020339	1.39783912283267e-05	0.197959169110032	-0.0115446714363399	0.072010310708375	-0.00947455553108819	0.135570163955314	0.179313540161523	2.49614129077262e-05	0.121741177100097
legskin	autophagy	141	739	0.0645270902111062	0.0802177404171014	0.0373157143413588	-0.0251944362234355	0.00419241519113979	-0.0233339568468289	0.00782059676917135	0.0738448505101303	0.0954973100203588	0.0310261313518672
legskin	chaperone / HSF1	36	739	0.209167013807431	1.01385069312438e-08	0.222443639058049	-0.0291175395021916	0.0127245692865232	-0.0251269166292213	0.0294540937718893	0.137052200879469	2.53462673281094e-08	0.0506296271597805
legskin	unfolded protein response	90	739	0.0270462944544597	0.46378141336349	0.0209450019014691	-0.0124044801891565	0.116912248977436	-0.0118635806228582	0.134769466035772	0.0436051779719947	0.483105638920302	0.153831906549258
legskin	DNA double-strand repair	169	739	0.642465142458542	6.53430169481502e-87	0.675985708801973	-0.0156454860127893	0.0774555204345026	-0.00473146451927151	0.493064577009242	0.697582771452174	8.16787711851877e-86	0.121741177100097
legskin	base excision repair	43	739	0.617794331510956	1.13513729966458e-78	0.629052426134838	-0.0056495863742703	0.567381824333085	0.00605359024863228	0.443168880235654	2.07151034564263	9.45947749720486e-78	0.567381824333085
legskin	telomere maintenance	63	739	0.606361075752805	4.2719611033695e-75	0.626806878828398	-0.018341396013886	0.0684250027398533	-0.00641257218997011	0.424485963558855	0.650377093155001	2.66997568960594e-74	0.121741177100097
legskin	chromatin organisation	298	739	0.141541227685985	0.000116773137541819	0.187409509248514	-0.0164901600253707	0.0162190599188783	-0.0144153715482348	0.0339243989648988	0.125819790344284	0.000182458027409091	0.0506296271597805
legskin	mitochondrial translation	132	739	0.227440265771564	4.32578295379927e-10	0.121397370174558	-0.0433394354881523	0.00154413382757505	-0.0368663237105592	0.00562198979123303	0.149358470055814	1.54492248349974e-09	0.0294822340334715
legskin	respiratory electron transport	154	739	0.26219478001385	4.90521333117349e-13	0.223229202997512	-0.0262092123806406	0.0633827643946762	-0.0198677131485606	0.149358995825343	0.241956879130185	2.45260666558675e-12	0.121741177100097
legskin	TCA cycle	33	739	0.192343724958663	1.45265303294219e-07	0.201142724955392	-0.0251070172112829	0.0779143533440619	-0.019909887159973	0.155966561330912	0.206999103381122	3.30148416577771e-07	0.121741177100097
legskin	interferon signalling	317	739	0.242792004850159	2.4601306297737e-11	0.301079838213077	-0.00707392275188242	0.332536055323203	-0.00303698011828265	0.665494789320527	0.570679490743027	1.02505442907238e-10	0.351504672989759
legskin	NF-kB / TNF	33	739	0.0418953855997983	0.256308335806729	0.0443129125362862	-0.0160739287730046	0.115630190540832	-0.0140555020293792	0.168029946839101	0.125571462467547	0.291259472507646	0.153831906549258
legskin	extracellular matrix	311	739	-0.102701751224805	0.00528922072075211	-0.0682982133921109	0.0294048127039303	0.00666386963423076	0.0265492874573248	0.0136946486218902	0.0971108122795068	0.00661152590094014	0.0333193481711538
legskin	collagen formation	90	739	0.029926447785123	0.417546131593795	0.0814312249475126	0.0273723517285936	0.0178072053349737	0.0272856323083604	0.0185557045999614	0.00316813918997583	0.45385449086282	0.0506296271597805
legskin	insulin / IGF signalling	72	739	-0.105499304380456	0.00416667985484481	-0.13403281825672	-0.0105699222400081	0.089411665443555	-0.0117514367907879	0.0586804495749429	-0.111780817677892	0.00548247349321686	0.131487743299346
legskin	mTOR signalling	23	739	0.12932157544521	0.000436087588096496	0.0866857913724147	-0.028556603244982	0.018226665777521	-0.0245930237283638	0.0397282309091255	0.13879730311814	0.000605677205689578	0.0506296271597805
