programme	n_genes	n_cc_removed	n_kept	rho_rate	rho_rate_noCC	p_noCC	FDR_noCC
chromatin organisation	312	38	274	0.69489629407124	0.628629341952432	1.77936180833792e-37	1.30486532611447e-36
cellular senescence	150	82	68	0.674959026198716	0.383240690628387	6.44678498644951e-13	1.57588077446544e-12
pre-mRNA processing	287	46	241	0.651468230022343	0.665368121490025	2.69728679675186e-43	5.93403095285409e-42
mRNA splicing	198	12	186	0.634461317994048	0.644171756192265	7.68649196483832e-40	8.45514116132216e-39
cell cycle (positive control)	499	499	0	0.61986820030048			
interferon signalling	279	67	212	0.601686867486756	0.489169636725659	3.89429609416055e-21	1.71349028143064e-20
DNA double-strand repair	180	124	56	0.594534581991128	0.54909230212868	3.17119883714397e-27	1.74415936042919e-26
telomere maintenance	82	82	0	0.581891407480896			
base excision repair	63	44	19	0.561882725574801	0.347546086281661	9.59542390986954e-11	2.1109932601713e-10
interleukin signalling	334	65	269	0.470979632207859	0.260319115309534	1.75967306209541e-06	2.76520052614993e-06
rRNA processing	187	9	178	0.455807210675293	0.446605342416154	1.74450363229597e-17	5.48272570150163e-17
mitochondrial translation	100	0	100	0.454900592515757	0.454900592515757	3.71123706862723e-18	1.36078692516332e-17
translation	348	39	309	0.427018853475199	0.415064824388935	4.32355633576789e-15	1.18897799233617e-14
extracellular matrix	235	1	234	-0.328003125894502	-0.337058595384818	3.71947366409027e-10	7.43894732818054e-10
TCA cycle	34	0	34	0.294562144407206	0.294562144407206	5.46592504234762e-08	9.25002699474213e-08
insulin / IGF signalling	62	3	59	-0.266955689462725	-0.308866035264809	1.11180639637501e-08	2.03831172668752e-08
respiratory electron transport	142	0	142	0.224361809339312	0.224361809339312	4.12714010270533e-05	5.67481764121982e-05
proteasome	268	64	204	0.221453897905634	-0.0821710274286582	0.137540768984798	0.159257732508714
chaperone / HSF1	30	5	25	0.207494834810135	0.103961659505783	0.0600077185185004	0.0733427670781672
NF-kB / TNF	32	5	27	-0.136229580474956	-0.229821412205875	2.63701021891083e-05	3.86761498773589e-05
autophagy	130	38	92	0.119352914041223	-0.0276831400138637	0.617395704409225	0.646795499857283
mTOR signalling	23	0	23	0.109330804596489	0.109330804596489	0.0478790589213587	0.0619611350746995
unfolded protein response	89	3	86	0.0488031603090669	0.0499762208271901	0.36694195168105	0.403636146849155
collagen formation	71	0	71	-0.0167130942901708	-0.0167130942901708	0.762993211242011	0.762993211242011
