splicing_definition	selection	comparator	side	metric	model	n_donors	n_genes	beta	lo	hi	p	FDR
selected_177	selected		splicing	splicing	technical covariates only	107	177	-0.133460754674092	-0.183085786971767	-0.0838357223764177	5.87149856746208e-07	8.22009799444691e-06
selected_177	selected	translation	comparator	translation	technical covariates only	107	363	-0.0672807699968692	-0.10045679996205	-0.0341047400316879	0.000111084269778558	0.000439511594625039
selected_177	selected	metabolism_of_rna	comparator	metabolism_of_rna	technical covariates only	107	576	-0.0558433693787201	-0.0813489040315173	-0.030337834725923	3.3449367680448e-05	0.000234145573763136
selected_177	selected	rrna_processing	comparator	rrna_processing	technical covariates only	107	229	-0.0741835442680669	-0.111071485479513	-0.0372956030566206	0.00012557474132144	0.000439511594625039
selected_177	selected		splicing	splicing	+ proliferation score	107	177	-0.0402448813724626	-0.0679750403849697	-0.0125147223599555	0.00487460202234209	0.0136488856625578
selected_177	selected	translation	comparator	translation	+ proliferation score	107	363	-0.0315587664888633	-0.0631547154616724	3.71824839458732e-05	0.0502650703190277	0.0703710984466387
selected_177	selected	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation score	107	576	-0.0241594707776038	-0.0471238491952364	-0.00119509235997118	0.0394108851440584	0.0703710984466387
selected_177	selected	rrna_processing	comparator	rrna_processing	+ proliferation score	107	229	-0.0302475960977848	-0.0640946404376228	0.00359944824205316	0.0792756158770145	0.100896238388928
selected_177	selected	translation	splicing	splicing	+ proliferation + translation	107	177	-0.0217296971081384	-0.0428630742508845	-0.000596319965392281	0.0439926852138323	0.0703710984466387
selected_177	selected	translation	comparator	translation	+ proliferation + splicing	107	363	-0.000905500213960575	-0.0254853616675361	0.023674361239615	0.941876581385931	0.941876581385931
selected_177	selected	metabolism_of_rna	splicing	splicing	+ proliferation + Metabolism of RNA	107	177	-0.0163817472157389	-0.0327613319925645	-2.16243891343337e-06	0.0499703432496452	0.0703710984466387
selected_177	selected	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation + splicing	107	576	0.00310238320587905	-0.0107154815247306	0.0169202479364888	0.656934127803995	0.733487063386553
selected_177	selected	rrna_processing	splicing	splicing	+ proliferation + rRNA processing	107	177	-0.0224096746854998	-0.042063305582636	-0.00275604378836361	0.0258537581635301	0.0603254357149035
selected_177	selected	rrna_processing	comparator	rrna_processing	+ proliferation + splicing	107	229	0.00510609099742314	-0.0194741268054307	0.029686308800277	0.681095130287514	0.733487063386553
reactome_mrna_splicing	unselected		splicing	splicing	technical covariates only	107	209	-0.0941928989515138	-0.127945813783817	-0.0604399841192103	2.45668968979449e-07	3.43936556571229e-06
reactome_mrna_splicing	unselected	translation	comparator	translation	technical covariates only	107	365	-0.0676303540240771	-0.10089251663053	-0.034368191417624	0.000106922200189577	0.000438374423285041
reactome_mrna_splicing	unselected	metabolism_of_rna	comparator	metabolism_of_rna	technical covariates only	107	544	-0.0663640045194683	-0.0955292935445987	-0.0371987154943379	1.72601799082593e-05	0.000120821259357815
reactome_mrna_splicing	unselected	rrna_processing	comparator	rrna_processing	technical covariates only	107	229	-0.0747078890957531	-0.111849933446031	-0.0375658447454751	0.000125249835224297	0.000438374423285041
reactome_mrna_splicing	unselected		splicing	splicing	+ proliferation score	107	209	-0.0418460735502483	-0.067864942193952	-0.0158272049065446	0.00189584634455108	0.00530836976474302
reactome_mrna_splicing	unselected	translation	comparator	translation	+ proliferation score	107	365	-0.0316461303930769	-0.0632758541832842	-1.64066028696952e-05	0.0498835420603713	0.0775966209827998
reactome_mrna_splicing	unselected	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation score	107	544	-0.0225981062478378	-0.0457976104142761	0.000601397918600425	0.0561219848083947	0.0785707787317526
reactome_mrna_splicing	unselected	rrna_processing	comparator	rrna_processing	+ proliferation score	107	229	-0.0303534606544001	-0.0643958435069265	0.00368892219812623	0.0799455470519772	0.101748878066153
reactome_mrna_splicing	unselected	translation	splicing	splicing	+ proliferation + translation	107	209	-0.023375117930237	-0.0421639732433287	-0.00458626261714543	0.0152796839608253	0.0267394469314442
reactome_mrna_splicing	unselected	translation	comparator	translation	+ proliferation + splicing	107	365	0.00444807184279692	-0.0190682523547082	0.027964396040302	0.708231944646012	0.708231944646012
reactome_mrna_splicing	unselected	metabolism_of_rna	splicing	splicing	+ proliferation + Metabolism of RNA	107	209	-0.0203495230522438	-0.0344594834696527	-0.00623956263483488	0.00514257378587915	0.011999338833718
reactome_mrna_splicing	unselected	metabolism_of_rna	comparator	metabolism_of_rna	+ proliferation + splicing	107	544	0.00904885621646518	-0.00391720257715577	0.0220149150100861	0.169238430768888	0.197444835897036
reactome_mrna_splicing	unselected	rrna_processing	splicing	splicing	+ proliferation + rRNA processing	107	207	-0.0251920433428541	-0.0435155670145364	-0.00686851967117187	0.00754004650561936	0.0150800930112387
reactome_mrna_splicing	unselected	rrna_processing	comparator	rrna_processing	+ proliferation + splicing	107	229	0.00939574038136523	-0.015407811689845	0.0341992924525754	0.454054494800854	0.488981763631689
reactome_premrna_processing	unselected		splicing	splicing	technical covariates only	107	286	-0.0956452634647588	-0.130627662301557	-0.0606628646279607	4.00435675558423e-07	5.60609945781792e-06
reactome_premrna_processing	unselected	translation	comparator	translation	technical covariates only	107	360	-0.068024138492467	-0.101375134137915	-0.0346731428470188	0.000102064163301382	0.000426764312517801
