tissue	set	markers	rho_tech	p_tech	n_tech	rho_tech_comp	p_comp	n_comp	drop_abs
culture	splicing 96	fibro+immune	0.739225416322278	1.19038614715399e-85	492	0.721883730530542	1.43017840871655e-79	492	0.0173416857917356
culture	splicing 177	fibro+immune	0.766245191359677	1.3276207968659e-95	492	0.763668357652911	3.23939250823674e-94	492	0.00257683370676631
culture	pre-mRNA processing	fibro+immune	0.691059060113659	1.14500779238166e-70	492	0.653340598793924	1.32389860746527e-60	492	0.0377184613197351
culture	mRNA splicing	fibro+immune	0.689292436770391	3.56755600499792e-70	492	0.6512693782701	4.15503787575212e-60	492	0.0380230585002915
culture	collagen formation	fibro+immune	0.0488319761142609	0.281159731098925	492	0.422205043778666	1.78967457221863e-22	492	-0.373373067664405
culture	cell cycle (positive control)	fibro+immune	0.940920238160132	3.62651282222571e-231	492	0.952303587969389	3.71959904925593e-252	492	-0.0113833498092564
legskin	splicing 96	kerat+fibro+immune	0.225063236113106	6.62367008914273e-10	739	0.100568270174528	0.00642922891691601	739	0.124494965938578
legskin	splicing 177	kerat+fibro+immune	0.202634017891947	2.9293203310565e-08	739	0.122556270254214	0.000884299146159808	739	0.0800777476377331
legskin	pre-mRNA processing	kerat+fibro+immune	0.14488308566661	7.98898088398644e-05	739	0.0824464518645845	0.0256054042468905	739	0.0624366338020254
legskin	mRNA splicing	kerat+fibro+immune	0.133975789050214	0.000267455496074817	739	0.0627788387747462	0.0894233527528342	739	0.0711969502754677
legskin	collagen formation	kerat+fibro+immune	0.029926447785123	0.417546131593795	739	0.0273414310049183	0.459836564580865	739	0.00258501678020474
legskin	cell cycle (positive control)	kerat+fibro+immune	0.67006501864748	4.45108428110961e-97	739	0.666466618438631	2.62661744074632e-95	739	0.00359840020884938
pubskin	splicing 96	kerat+fibro+immune	0.0555195866517878	0.166342605247558	626	-0.0582536038032927	0.147391647963629	626	0.11377319045508
pubskin	splicing 177	kerat+fibro+immune	0.0212756684042374	0.596088688110003	626	-0.0465174006756654	0.247451077493989	626	0.0677930690799028
pubskin	pre-mRNA processing	kerat+fibro+immune	-0.0247205955638443	0.537973565345669	626	-0.0739094241558005	0.0658957739647389	626	0.0491888285919562
pubskin	mRNA splicing	kerat+fibro+immune	-0.0443544888943241	0.268983122833494	626	-0.0938055612455478	0.0194818959812514	626	0.0494510723512237
pubskin	collagen formation	kerat+fibro+immune	0.085666857238944	0.0325265519710632	626	0.109858782885183	0.00617701524287065	626	-0.0241919256462387
pubskin	cell cycle (positive control)	kerat+fibro+immune	0.59664209609123	2.46109281519938e-61	626	0.586127006741367	1.79188374079262e-58	626	0.0105150893498631
muscle	splicing 96	myofibre+satellite+fibro+immune	-0.115199121256736	0.000847000299474975	839	-0.0399761946076601	0.249396449244837	839	-0.0752229266490761
muscle	splicing 177	myofibre+satellite+fibro+immune	-0.130206880969381	0.00015987446176578	839	-0.0559948301092293	0.106532634272117	839	-0.0742120508601516
muscle	pre-mRNA processing	myofibre+satellite+fibro+immune	-0.131491104268675	0.000137419497941498	839	-0.0264912200852817	0.445398555456025	839	-0.104999884183393
muscle	mRNA splicing	myofibre+satellite+fibro+immune	-0.139065896398185	5.4716888922937e-05	839	-0.0370009472579301	0.286409642229211	839	-0.102064949140255
muscle	collagen formation	myofibre+satellite+fibro+immune	0.240151301189416	1.97143247316733e-12	839	0.0305161316278085	0.379346409203273	839	0.209635169561608
muscle	cell cycle (positive control)	myofibre+satellite+fibro+immune	0.0305453499226061	0.377743078229624	839	0.156565419924601	5.69906426422418e-06	839	-0.126020070001995
