gene	chromosome	start	end	strand	annotated	type	meanPSI	d_prolif	t_prolif	p_prolif	FDR_prolif	d_age	FDR_age	d_age_adj	FDR_age_adj	machinery	named
ATAD3B	chr1	1479109	1480866	+	1	alternative acceptor		0.000316961646045214	0.085983261303552	0.931648279457065	1	2.12490019340988e-05	1	9.61703920399214e-05	1	FALSE	FALSE
""	chr1	1479109	1518920	+	0	alternative acceptor		-0.000316961646045213	-0.0859832613035518	0.931648279457065	1	-2.12490019340988e-05	1	-9.61703920399212e-05	1	FALSE	FALSE
ATAD3B	chr1	1480937	1482137	+	1	alternative acceptor		-0.0117019313079855	-1.36454881678027	0.175427439294621	0.339572408105296	0.00104766343577095	0.960291504975306	-0.0013480674257201	1	FALSE	FALSE
""	chr1	1480937	1520140	+	0	alternative acceptor		0.0117019313079855	1.36454881678027	0.17542743929462	0.339572408105296	-0.00104766343577095	0.960291504975306	0.00134806742572011	1	FALSE	FALSE
ATAD3B	chr1	1490672	1495484	+	1	alternative acceptor		-0.317716398165834	-2.77103603072632	0.00669841471862032	0.0278840984798381	0.055124233461738	0.673304098938259	-0.00452002686726902	1	FALSE	FALSE
""	chr1	1490672	1509204	+	1	alternative acceptor		0.188426249530146	2.81037162296087	0.00598668024721405	0.0256431983888854	-0.0332465547002705	0.655214741049296	0.00202405600477811	1	FALSE	FALSE
ATAD3A	chr1	1490672	1533925	+	0	alternative acceptor		0.187567863837341	2.79454172254726	0.0062643471711909	0.0266646367074096	-0.0330793000213035	0.658211357946092	0.00203354817534635	1	FALSE	FALSE
CDK11B	chr1	1645263	1649498	-	1	alternative acceptor	0.58349143739748	0.0562062010743367	1.72308903835117	0.0878732879400576	0.199673767936943	-0.0139061801117975	0.705462987355531	-0.00391842581536041	1	FALSE	FALSE
SLC35E2B	chr1	1645263	1716345	-	1	alternative acceptor	0.416508562602519	-0.0562062010743367	-1.72308903835117	0.0878732879400576	0.199673767936943	0.0139061801117975	0.705462987355531	0.00391842581536041	1	FALSE	FALSE
CDK11B	chr1	1652567	1655368	-	1	alternative acceptor	0.691630866380543	0.155645892675398	2.12434210099779	0.0360349106167366	0.0984375349458001	0.00163776710655991	1	0.0368063595239834	0.865330761437268	FALSE	FALSE
SLC35E2B	chr1	1652567	1721595	-	0	alternative acceptor	0.308369133619458	-0.155645892675398	-2.12434210099779	0.0360349106167365	0.0984375349458001	-0.00163776710655989	1	-0.0368063595239833	0.865330761437268	FALSE	FALSE
CDK11B	chr1	1655485	1657374	-	1	alternative acceptor	0.500141602945341	0.000432541250925147	0.116826427913788	0.907225093356256	0.985939725420874	5.27062787797716e-05	1	0.000159448817332732	1	FALSE	FALSE
SLC35E2B	chr1	1655485	1722707	-	0	alternative acceptor	0.499858397054659	-0.000432541250925146	-0.116826427913787	0.907225093356256	0.985939725420874	-5.27062787797714e-05	1	-0.000159448817332731	1	FALSE	FALSE
SLC35E2B	chr1	1666020	1668326	-	1	alternative acceptor	0.504672897196262	-0.0231820494532937	-0.437907038197718	0.662370628186857	0.819482603114911	0.00312194597802166	1	-0.00148641673896611	1	FALSE	FALSE
""	chr1	1666020	1734689	-	0	alternative acceptor	0.495327102803738	0.0231820494532937	0.437907038197718	0.662370628186857	0.819482603114911	-0.00312194597802167	1	0.00148641673896611	1	FALSE	FALSE
GNB1	chr1	1787054	1787321	-	1	alternative acceptor	0.929226304075689	-0.000183708259301102	-0.00286852111569337	0.997716802823269	1	0.00254180158489224	1	0.00297616895147097	1	FALSE	FALSE
GNB1	chr1	1787054	1787325	-	1	alternative acceptor	0.0707736959243105	0.000183708259301123	0.00286852111569369	0.997716802823268	1	-0.00254180158489226	1	-0.00297616895147097	1	FALSE	FALSE
NBPF1	chr1	16580957	16581419	-	1	alternative acceptor	0.5	0	0	1	1	0	1	0	1	FALSE	FALSE
NBPF1	chr1	16580957	16587724	-	0	alternative acceptor	0.5	0	0	1	1	0	1	0	1	FALSE	FALSE
AKR7L	chr1	19267462	19268571	-	1	alternative acceptor		0.025238939052403	1.17296565712647	0.243652739478367	0.42278722804384	-0.00939148312027444	0.694106923497671	-0.00555842245362135	1	FALSE	FALSE
""	chr1	19267462	19283995	-	0	alternative acceptor		-0.0183991753702005	-0.751338554843316	0.454249430619853	0.644246169115146	-0.00375340957945868	0.938559926774261	-0.00849070364730079	0.96951046090697	FALSE	FALSE
AKR7A3	chr1	19267462	19306017	-	0	alternative acceptor		0.00431380495457757	0.142881522497223	0.886677113218007	0.976867140283266	0.00698331818171772	0.865357879812485	0.00921277327768438	0.983234759464368	FALSE	FALSE
EIF4G3	chr1	20886372	20892618	-	1	alternative acceptor	0.133525076745852	0.116862575899017	1.59233639684141	0.11437356124004	0.244612594973142	0.0381758368899194	0.627289192329627	0.0714930518226723	0.484910345714144	FALSE	FALSE
EIF4G3	chr1	20886372	20893516	-	1	alternative acceptor	0.866474923254149	-0.116862575899017	-1.59233639684141	0.11437356124004	0.244612594973142	-0.0381758368899194	0.627289192329627	-0.0714930518226722	0.484910345714144	FALSE	FALSE
HSPG2	chr1	21842381	21842769	-	1	alternative acceptor		0.120029158757278	0.912468555697657	0.36367374706858	0.564001100674984	-0.0257032711111307	0.897586392226939	-0.00359639092720839	1	FALSE	FALSE
HSPG2	chr1	21842381	21847688	-	0	alternative acceptor		-0.120029158757278	-0.912468555697659	0.363673747068579	0.564001100674984	0.0257032711111306	0.897586392226939	0.00359639092720834	1	FALSE	FALSE
HSPG2	chr1	21843439	21844147	-	1	alternative acceptor		-0.283400527523388	-2.4586323618195	0.0157193294399392	0.0534614394252332	-0.0282372340234722	0.863205297776067	-0.0957203522466725	0.618142836076918	FALSE	FALSE
HSPG2	chr1	21843439	21852087	-	0	alternative acceptor		0.217585344928574	2.35025028160909	0.0207860908012761	0.0656392709518478	0.0257028867479435	0.837889846895872	0.078256399794836	0.608087013173841	FALSE	FALSE
HSPG2	chr1	21843439	21852918	-	0	alternative acceptor		0.217585344928574	2.35025028160909	0.0207860908012761	0.0656392709518478	0.0257028867479435	0.837889846895872	0.078256399794836	0.608087013173841	FALSE	FALSE
HSPG2	chr1	21851927	21852087	-	1	alternative acceptor		0.0887606476640329	2.63281914482398	0.00979776700121447	0.0367389256572553	-0.0402390808799145	0.106461359346479	-0.0279180553006758	0.632324922787646	FALSE	FALSE
HSPG2	chr1	21851927	21852918	-	0	alternative acceptor		-0.0887606476640328	-2.63281914482398	0.00979776700121451	0.0367389256572553	0.0402390808799145	0.106461359346479	0.0279180553006758	0.632324922787646	FALSE	FALSE
HSPG2	chr1	21888067	21888667	-	1	alternative acceptor	0.133464670058384	0.119855747623125	1.42283679737465	0.157805160009633	0.313168809964727	-0.00132543570803667	1	0.0252723839728591	0.985187378373503	FALSE	FALSE
HSPG2	chr1	21888067	21889980	-	1	alternative acceptor	0.866535329941616	-0.119855747623125	-1.42283679737465	0.157805160009633	0.313168809964727	0.00132543570803669	1	-0.0252723839728591	0.985187378373503	FALSE	FALSE
KDM1A	chr1	23030635	23044426	+	1	alternative acceptor	0.540261962656711	-0.0574869715168179	-0.77318746611997	0.441182250924104	0.631507085603064	-0.00490347229617674	1	-0.0186969704581667	1	FALSE	FALSE
KDM1A	chr1	23030635	23050386	+	1	alternative acceptor	0.45973803734329	0.0574869715168178	0.773187466119969	0.441182250924104	0.631507085603064	0.00490347229617676	1	0.0186969704581667	1	FALSE	FALSE
HNRNPR	chr1	23323733	23333517	-	1	alternative acceptor	0.95752975610039	-0.16442605857008	-2.15384030298699	0.0335851095406425	0.0939058558479313	0.0226118651453756	0.823063273377401	-0.00998677257715843	1	TRUE	FALSE
HNRNPR	chr1	23323733	23337753	-	1	alternative acceptor	0.0424702438996096	0.164426058570079	2.15384030298698	0.0335851095406429	0.0939058558479313	-0.0226118651453755	0.823063273377401	0.00998677257715848	1	TRUE	FALSE
HNRNPR	chr1	23338609	23340851	-	1	alternative acceptor		-0.0788450923401954	-0.737280856911366	0.46264419165761	0.652073309501671	-0.0259944949854008	0.861321182717944	-0.0485659536645576	0.902506498809721	TRUE	FALSE
HNRNPR	chr1	23338609	23344210	-	1	alternative acceptor		0.0788450923401954	0.737280856911366	0.46264419165761	0.652073309501671	0.0259944949854009	0.861321182717944	0.0485659536645575	0.902506498809721	TRUE	FALSE
TMEM50A	chr1	25340580	25342960	+	1	alternative acceptor	0.961871760339127	-0.208403107607985	-2.77204701594816	0.00661207056378593	0.0276261080926732	0.0174255126414446	0.872881226588809	-0.025993536325793	0.970467838347115	FALSE	FALSE
TMEM50A	chr1	25340580	25351625	+	1	alternative acceptor	0.0381282396608725	0.208403107607985	2.77204701594817	0.00661207056378593	0.0276261080926732	-0.0174255126414446	0.872881226588809	0.025993536325793	0.970467838347115	FALSE	FALSE
YTHDF2	chr1	28738339	28742402	+	1	alternative acceptor	0.827823865145034	-0.0399507057096241	-0.41828495905022	0.676609608373865	0.828914182224577	-0.0321037845195331	0.788473083121456	-0.0470580176152077	0.869621028064469	FALSE	FALSE
YTHDF2	chr1	28738339	28768928	+	1	alternative acceptor	0.172176134854966	0.0399507057096241	0.41828495905022	0.676609608373865	0.828914182224577	0.0321037845195331	0.788473083121456	0.0470580176152077	0.869621028064469	FALSE	FALSE
COL16A1	chr1	31668856	31670601	-	1	alternative acceptor		-0.0970384845572666	-1.23633968573138	0.219171699798796	0.396847567381992	0.047804765461535	0.52687273448502	0.0350343722153276	0.908552550007806	FALSE	FALSE
COL16A1	chr1	31668856	31671614	-	1	alternative acceptor		0.0970384845572665	1.23633968573138	0.219171699798796	0.396847567381992	-0.047804765461535	0.52687273448502	-0.0350343722153276	0.908552550007806	FALSE	FALSE
COL16A1	chr1	31679686	31679803	-	1	alternative acceptor	0.634440437601891	0.2416438007786	4.3677678278341	2.99836821102453e-05	0.000320674537285988	-0.0610466342459397	0.187705745570054	-0.0183427502382754	0.980928941102963	FALSE	FALSE
COL16A1	chr1	31679686	31680041	-	1	alternative acceptor	0.365559562398109	-0.2416438007786	-4.3677678278341	2.99836821102453e-05	0.000320674537285988	0.0610466342459396	0.187705745570054	0.0183427502382754	0.980928941102963	FALSE	FALSE
PTP4A2	chr1	31911827	31915894	-	1	alternative acceptor	0.845888187353555	-0.117882127763528	-1.97106749568749	0.0513992194240437	0.130551714160697	0.0565420820898231	0.248291946758214	0.0407161402072136	0.763742089132858	FALSE	FALSE
PTP4A2	chr1	31911827	31918969	-	1	alternative acceptor	0.154111812646445	0.117882127763528	1.97106749568749	0.0513992194240439	0.130551714160697	-0.0565420820898232	0.248291946758214	-0.0407161402072136	0.763742089132858	FALSE	FALSE
