gene	in_177_set	named_factor	chromosome	strand	event_type	element_start	element_end	element_length	element_annotation	element_transcript_types	inclusion_junction	skipping_junction	measured_path	both_junctions_annotated	seen_from_both_sides	mean_PSI	PSI_slowest_third	PSI_fastest_third	dPSI_percentage_points	d_logit_per_score_unit	t_prolif	P_prolif	FDR_prolif	d_age_per_decade	FDR_age	d_age_adj_per_decade	FDR_age_adj
ACIN1	TRUE	FALSE	chr14	-	cassette exon	23071427	23071617	191	coding exon	protein_coding	chr14:23069618-23071426	chr14:23069618-23078150	inclusion	TRUE	FALSE	0.110283180339542	0.0917086744681863	0.11267390972428	2.09652352560934	0.170490777856675	2.02671864719956	0.045275225846217	0.118904280388405	-0.0281130623876061	0.792492422645402	0.00481482307434575	1
ACIN1	TRUE	FALSE	chr14	-	alternative 3' splice site	23064486	23064488	3	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr14:23064489-23065965	chr14:23064486-23065965	skipping	TRUE	FALSE	0.172871982238983	0.159017414948875	0.179664118006393	2.06467030575176	0.0796804093848546	1.72883143248157	0.0868355245233413	0.198073520391606	0.00360671189718067	0.994147604074607	0.0221285915398951	0.878248097399591
ACIN1	TRUE	FALSE	chr14	-	cassette exon	23071125	23071565	441	coding exon	protein_coding	chr14:23069618-23071124	chr14:23069618-23078150	inclusion	TRUE	FALSE	0.114423850421349	0.0961597934738744	0.135971689527934	3.98118960540598	0.0923560265415013	1.26053835287321	0.210323329232806	0.386027869789949	-0.0371141430209962	0.637244362211406	-0.023371101976391	0.983234759464368
CPSF6	TRUE	FALSE	chr12	+	unannotated splice site	69262370	69262372	3	not an annotated exon	""	chr12:69260198-69262369	chr12:69260198-69262372	inclusion	TRUE	FALSE	0.245945816193693	0.25763204455244	0.239329493666086	-1.83025508863543	0.0239254022069838	0.308953816647889	0.75798071970283	0.890771398655606	-0.00990456332265398	0.956291682707003	-0.00639857973720363	1
FUS	TRUE	FALSE	chr16	+	alternative 3' splice site	31183858	31183860	3	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr16:31182665-31183857	chr16:31182665-31183860	skipping	TRUE	FALSE	0.308409959631543	0.321461191720691	0.305482635277904	-1.59785564427869	-0.0463510548672311	-2.25693319496879	0.0261235801040046	0.0792562854002852	0.0189757998523049	0.269230684263363	0.0121438556170826	0.801020692772742
HNRNPA1	TRUE	TRUE	chr12	+	cassette exon	54284549	54285745	1197	coding exon	protein_coding;retained_intron	chr12:54284318-54284548	chr12:54284318-54286661	skipping	TRUE	FALSE	0.165864452461479	0.192826134577979	0.144271691795206	-4.85544427827725	-0.267682118823701	-2.88583630916054	0.00475601046367949	0.0212272855472099	0.0978443052413329	0.1872307540388	0.0561922862487317	0.801020692772742
HNRNPA1	TRUE	TRUE	chr12	+	cassette exon	54283079	54283234	156	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr12:54282875-54283078	chr12:54282875-54283811	skipping	TRUE	TRUE		0.514075344754933	0.72807030623383	21.3994961478898	0.302775036941685	2.46319865193731	0.0154442927943417	0.0528031809681648	-0.0767148048648643	0.526201584438183	-0.0233967039882661	1
HNRNPA2B1	TRUE	TRUE	chr7	-	cassette exon	26191422	26192338	917	NMD-only exon	nonsense_mediated_decay	chr7:26192339-26192494	chr7:26191129-26192494	skipping	TRUE	FALSE	0.0222387615259952	0.0352943216878915	0.0144307654965658	-2.08635561913257	-0.441646294225028	-7.94139912929	2.59938599674394e-12	1.88095995211194e-10	0.136300324261967	0.00122811839281667	0.0628773734276353	0.376498861396169
HNRNPA2B1	TRUE	TRUE	chr7	-	cassette exon	26190993	26192338	1346	non-coding annotation only	nonsense_mediated_decay;retained_intron	chr7:26192339-26192494	chr7:26190461-26192494	skipping	TRUE	TRUE	0.0135712621275901	0.0174994425083515	0.0110152428178245	-0.648419969052694	-0.188042724318188	-3.18072601654906	0.0019414324470098	0.0103944986557989	0.0989418588147734	0.0108555370113009	0.0753331245277528	0.270940558545608
HNRNPA2B1	TRUE	TRUE	chr7	-	cassette exon	26197831	26197866	36	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr7:26197867-26200571	chr7:26197733-26200571	inclusion	TRUE	TRUE	0.207371029573253	0.237157226744831	0.19113930939455	-4.60179173502812	-0.0993507815599052	-2.0827970709404	0.0397465226344446	0.106439309826572	0.0663681374012255	0.0388996484384497	0.056531160597159	0.330183955337883
HNRNPC	TRUE	FALSE	chr14	-	cassette exon	21263667	21263829	163	coding exon	protein_coding	chr14:21263830-21269297	chr14:21263337-21269297	inclusion	TRUE	FALSE	0.134463255414958	0.161148503585971	0.118165041062878	-4.2983462523093	-0.133763483267443	-2.19938163947927	0.0300868408778084	0.0876073166313582	0.0714293265329333	0.110657206168379	0.054831289366754	0.561653851765132
HNRNPC	TRUE	FALSE	chr14	-	cassette exon	21263311	21263336	26	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr14:21263337-21269297	chr14:21234230-21269297	skipping	TRUE	TRUE	0.312270222085478	0.241144763983497	0.329359381772412	8.82146177889157	0.209773094963307	2.18468597540411	0.0311792851757919	0.089941262835342	-0.101911278197408	0.172597094784143	-0.0739907997709219	0.685750082706529
HNRNPC	TRUE	FALSE	chr14	-	alternative 5' splice site	21230958	21230996	39	coding exon	nonsense_mediated_decay;protein_coding	chr14:21230367-21230957	chr14:21230367-21230996	inclusion	TRUE	FALSE	0.387960588964931	0.3601926912345	0.408478923845198	4.82862326106976	0.0522153221208147	1.99682519660301	0.0484824044892786	0.124538261078578	0.0175586836967671	0.472367357846902	0.0325389276288718	0.283277700446563
HNRNPC	TRUE	FALSE	chr14	-	alternative 3' splice site	21211564	21211566	3	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr14:21211567-21211809	chr14:21211564-21211809	skipping	TRUE	FALSE	0.0346024870643745	0.0379501701631926	0.0344189407043705	-0.353122945882209	0.00303521384023644	0.0551170532708688	0.956151980470285	1	0.0159077696510763	0.823063273377401	0.0195636025605165	0.96580989741943
HNRNPD	TRUE	TRUE	chr4	-	cassette exon	82356537	82356683	147	coding exon	nonsense_mediated_decay;protein_coding	chr4:82355402-82356536	chr4:82355402-82356795	inclusion	TRUE	TRUE	0.289704705445954	0.313104038594735	0.266628252612378	-4.6475785982356	-0.0620312498484282	-2.08124041717797	0.0398917688010895	0.106660303217378	0.0246699163573219	0.334713709812306	0.0153911018388087	0.86095732319391
HNRNPD	TRUE	TRUE	chr4	-	cassette exon	82371528	82371584	57	coding exon	protein_coding	chr4:82359640-82371527	chr4:82359640-82373445	skipping	TRUE	FALSE	0.0500913298288991	0.0451678346215125	0.0483053186689015	0.313748404738896	0.116204245847268	1.42396005209721	0.157480483065576	0.313168809964727	-0.0409787572086225	0.64347936167394	-0.0226170788691234	1
HNRNPH1	TRUE	FALSE	chr5	-	cassette exon	179617051	179617110	60	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr5:179616959-179617050	chr5:179616959-179617513	inclusion	TRUE	TRUE	0.365866075747613	0.427061701015216	0.327007016775049	-10.0054684240167	-0.190616030586396	-4.53409737138227	1.56655421733234e-05	0.000186288492767387	0.0909006995980638	0.000920849651809318	0.06521126189148	0.121746127165749
HNRNPH1	TRUE	FALSE	chr5	-	alternative 5' splice site	179616869	179616898	30	coding exon	protein_coding;retained_intron	chr5:179616219-179616868	chr5:179616219-179616898	skipping	TRUE	FALSE	0.0997922229662218	0.0861241584265377	0.112068694382308	2.59445359557701	0.146196612217002	3.53234522152057	0.000617923581117778	0.00417804791129535	-0.0368242067693186	0.30667844523193	-0.0109674909239001	1
